filename;formulation;lb;ub;time
i-20-2-75-14-3-l-0.cssp;A;2;3;1800
i-20-2-75-14-3-l-0.cssp;Ad;3;3;169.64
i-20-2-75-14-3-l-0.cssp;P;3;3;27.68
i-20-2-75-14-3-l-0.cssp;Pd;3;3;0
i-20-2-75-14-3-l-1.cssp;A;2;3;1800
i-20-2-75-14-3-l-1.cssp;Ad;3;3;332.4
i-20-2-75-14-3-l-1.cssp;P;3;3;20.84
i-20-2-75-14-3-l-1.cssp;Pd;3;3;0.2
i-20-2-75-14-3-l-2.cssp;A;2;3;1800
i-20-2-75-14-3-l-2.cssp;Ad;3;3;590.54
i-20-2-75-14-3-l-2.cssp;P;3;3;17.88
i-20-2-75-14-3-l-2.cssp;Pd;3;3;0.1
i-20-2-75-14-3-l-3.cssp;A;2;3;1800
i-20-2-75-14-3-l-3.cssp;Ad;3;4;1800
i-20-2-75-14-3-l-3.cssp;P;3;3;26.26
i-20-2-75-14-3-l-3.cssp;Pd;3;3;0.02
i-20-2-75-14-3-l-4.cssp;A;1;2;1800
i-20-2-75-14-3-l-4.cssp;Ad;2;2;17.86
i-20-2-75-14-3-l-4.cssp;P;2;2;15.32
i-20-2-75-14-3-l-4.cssp;Pd;2;2;0.04
i-20-4-100-15-7-e-0.cssp;A;0;10;1800
i-20-4-100-15-7-e-0.cssp;Ad;6;10;1800
i-20-4-100-15-7-e-0.cssp;P;0;8;722.8
i-20-4-100-15-7-e-0.cssp;Pd;7;7;1532.6
i-20-4-100-15-7-e-1.cssp;A;0;10;1800
i-20-4-100-15-7-e-1.cssp;Ad;6;11;1800
i-20-4-100-15-7-e-1.cssp;P;0;8;657.6
i-20-4-100-15-7-e-1.cssp;Pd;7;7;535.28
i-20-4-100-15-7-e-2.cssp;A;1;9;1800
i-20-4-100-15-7-e-2.cssp;Ad;6;10;1800
i-20-4-100-15-7-e-2.cssp;P;0;8;610
i-20-4-100-15-7-e-2.cssp;Pd;6;8;1003.14
i-20-4-100-15-7-e-3.cssp;A;0;9;1800
i-20-4-100-15-7-e-3.cssp;Ad;5;1.00E+20;1800
i-20-4-100-15-7-e-3.cssp;P;0;8;698.06
i-20-4-100-15-7-e-3.cssp;Pd;6;6;3.68
i-20-4-100-15-7-e-4.cssp;A;0;8;1800
i-20-4-100-15-7-e-4.cssp;Ad;6;1.00E+20;1800
i-20-4-100-15-7-e-4.cssp;P;0;8;602.52
i-20-4-100-15-7-e-4.cssp;Pd;7;7;680.78
i-20-4-100-16-7-l-0.cssp;A;0;11;1800
i-20-4-100-16-7-l-0.cssp;Ad;6;12;1800
i-20-4-100-16-7-l-0.cssp;P;7;7;712.5
i-20-4-100-16-7-l-0.cssp;Pd;7;7;49.62
i-20-4-100-16-7-l-1.cssp;A;5.11E-17;10;1800
i-20-4-100-16-7-l-1.cssp;Ad;6;1.00E+20;1800
i-20-4-100-16-7-l-1.cssp;P;7;7;1095.44
i-20-4-100-16-7-l-1.cssp;Pd;7;7;25.12
i-20-4-100-16-7-l-2.cssp;A;1;1.00E+20;1800
i-20-4-100-16-7-l-2.cssp;Ad;6;1.00E+20;1800
i-20-4-100-16-7-l-2.cssp;P;7;7;916.52
i-20-4-100-16-7-l-2.cssp;Pd;7;7;59.98
i-20-4-100-16-7-l-3.cssp;A;0;9;1800
i-20-4-100-16-7-l-3.cssp;Ad;6;11;1800
i-20-4-100-16-7-l-3.cssp;P;7;7;853.92
i-20-4-100-16-7-l-3.cssp;Pd;7;7;61.8
i-20-4-100-16-7-l-4.cssp;A;1;12;1800
i-20-4-100-16-7-l-4.cssp;Ad;6;11;1800
i-20-4-100-16-7-l-4.cssp;P;7;7;888.74
i-20-4-100-16-7-l-4.cssp;Pd;7;7;18.22
i-20-4-125-17-8-e-0.cssp;A;0;12;1800
i-20-4-125-17-8-e-0.cssp;Ad;6;13;1800
i-20-4-125-17-8-e-0.cssp;P;0;9;730.64
i-20-4-125-17-8-e-0.cssp;Pd;7;8;1800
i-20-4-125-17-8-e-1.cssp;A;0;1.00E+20;1800
i-20-4-125-17-8-e-1.cssp;Ad;7;12;1800
i-20-4-125-17-8-e-1.cssp;P;0;10;753.44
i-20-4-125-17-8-e-1.cssp;Pd;7;9;1280.86
