filename;lb;ub;time
Hufsky-30-250-45.csp;28;28;0
Hufsky-30-250-46.csp;28;28;0
Hufsky-30-250-5.csp;22;22;0
Hufsky-30-250-6.csp;25;25;0
Hufsky-30-250-7.csp;23;23;0
Hufsky-30-250-8.csp;25;25;0
Hufsky-30-250-9.csp;26;26;0
Hufsky-30-300-0.csp;34;34;0.02
Hufsky-30-300-1.csp;29;29;0.02
Hufsky-30-300-10.csp;34;34;0.02
Hufsky-30-300-11.csp;32;32;0.02
Hufsky-30-300-12.csp;34;34;0.02
Hufsky-30-300-13.csp;34;34;0.02
Hufsky-30-300-14.csp;30;30;0.02
Hufsky-30-300-15.csp;30;30;0.02
Hufsky-30-300-16.csp;30;30;0.02
Hufsky-30-300-17.csp;30;30;0.02
Hufsky-30-300-18.csp;30;30;0.02
Hufsky-30-300-19.csp;34;34;0.02
Hufsky-30-300-2.csp;25;25;0.02
Hufsky-30-300-20.csp;35;35;0.02
Hufsky-30-300-21.csp;30;30;0
Hufsky-30-300-22.csp;28;28;0
Hufsky-30-300-23.csp;24;24;0
Hufsky-30-300-24.csp;35;35;0.02
Hufsky-30-300-25.csp;30;30;0
Hufsky-30-300-26.csp;26;26;0
Hufsky-30-300-27.csp;35;35;0.02
Hufsky-30-300-28.csp;30;30;0.02
Hufsky-30-300-29.csp;30;30;0.02
Hufsky-30-300-3.csp;34;34;0.02
Hufsky-30-300-30.csp;30;30;0
Hufsky-30-300-31.csp;35;35;0.02
Hufsky-30-300-32.csp;34;34;0
Hufsky-30-300-33.csp;30;30;0.02
Hufsky-30-300-34.csp;30;30;0.02
Hufsky-30-300-35.csp;30;30;0
Hufsky-30-300-36.csp;30;30;0.02
Hufsky-30-300-37.csp;30;30;0.02
Hufsky-30-300-38.csp;26;26;0.02
Hufsky-30-300-39.csp;34;34;0.02
Hufsky-30-300-4.csp;31;31;0.02
Hufsky-30-300-40.csp;30;30;0.02
Hufsky-30-300-41.csp;35;35;0
Hufsky-30-300-42.csp;36;36;0.02
Hufsky-30-300-43.csp;29;29;0
Hufsky-30-300-44.csp;34;34;0
Hufsky-30-300-45.csp;32;32;0
Hufsky-30-300-46.csp;33;33;0.02
Hufsky-30-300-5.csp;30;30;0.02
Hufsky-30-300-6.csp;30;30;0
Hufsky-30-300-7.csp;31;31;0.02
Hufsky-30-300-8.csp;30;30;0
Hufsky-30-300-9.csp;29;29;0.02
Hufsky-30-350-0.csp;39;39;0.02
Hufsky-30-350-1.csp;34;34;0
Hufsky-30-350-10.csp;40;40;0.02
Hufsky-30-350-11.csp;35;35;0.02
Hufsky-30-350-12.csp;39;39;0.02
Hufsky-30-350-13.csp;40;40;0.02
Hufsky-30-350-14.csp;37;37;0.02
Hufsky-30-350-15.csp;30;30;0
Hufsky-30-350-16.csp;39;39;0.02
Hufsky-30-350-17.csp;35;35;0.02
Hufsky-30-350-18.csp;39;39;0
Hufsky-30-350-19.csp;40;40;0.02
Hufsky-30-350-2.csp;32;32;0.02
Hufsky-30-350-20.csp;40;40;0.02
Hufsky-30-350-21.csp;36;36;0.02
Hufsky-30-350-22.csp;33;33;0.02
Hufsky-30-350-23.csp;30;30;0.02
Hufsky-30-350-24.csp;36;36;0.02
Hufsky-30-350-25.csp;30;30;0
Hufsky-30-350-26.csp;36;36;0.02
Hufsky-30-350-27.csp;38;38;0.02
Hufsky-30-350-28.csp;36;36;0.02
Hufsky-30-350-29.csp;40;40;0.02
